numIter,CCR,MAE,NH,CompTime
1,0.260000,1.408000,8,94.649243
2,0.300000,1.196000,8,95.796501
3,0.260000,1.360000,8,96.789635
4,0.260000,1.312000,8,99.080923
5,0.264000,1.248000,8,100.664679
6,0.244000,1.260000,8,101.947881
7,0.268000,1.264000,32,108.534575
8,0.220000,1.336000,32,109.572379
9,0.284000,1.288000,32,110.630043
10,0.252000,1.504000,8,98.960875
11,0.220000,1.404000,8,99.985403
12,0.252000,1.300000,8,100.972921
13,0.216000,1.376000,8,93.895894
14,0.224000,1.356000,8,94.921070
15,0.244000,1.392000,8,95.808354
16,0.240000,1.340000,8,94.701149
17,0.280000,1.216000,8,95.659855
18,0.240000,1.392000,8,96.469038
19,0.248000,1.364000,32,96.448068
20,0.228000,1.388000,32,97.569403
21,0.164000,1.996000,32,98.379240
22,0.224000,1.552000,8,101.227930
23,0.272000,1.388000,8,102.495461
24,0.272000,1.280000,8,103.388947
25,0.248000,1.408000,32,95.006399
26,0.264000,1.396000,32,96.430592
27,0.252000,1.464000,32,97.639657
28,0.280000,1.196000,8,99.315351
29,0.268000,1.216000,8,100.248671
30,0.232000,1.208000,8,101.279933
