numIter,CCR,MAE,NH,CompTime
1,0.704918,0.311475,32,94.380922
2,0.713115,0.311475,32,95.571342
3,0.704918,0.311475,32,96.393981
4,0.696721,0.319672,16,100.530087
5,0.655738,0.377049,16,101.459313
6,0.713115,0.303279,16,103.064496
7,0.696721,0.319672,32,93.188031
8,0.655738,0.360656,32,94.382841
9,0.647541,0.360656,32,95.480957
10,0.713115,0.303279,16,104.481647
11,0.696721,0.336066,16,105.388066
12,0.745902,0.286885,16,106.853371
13,0.737705,0.286885,16,94.363731
14,0.704918,0.311475,16,95.263599
15,0.704918,0.319672,16,96.607124
16,0.688525,0.319672,32,98.371956
17,0.721311,0.286885,32,99.422718
18,0.721311,0.303279,32,100.451141
19,0.672131,0.336066,32,100.510673
20,0.672131,0.352459,32,101.379594
21,0.614754,0.418033,32,102.258125
22,0.704918,0.344262,32,99.686464
23,0.647541,0.393443,32,100.819624
24,0.696721,0.336066,32,101.956361
25,0.696721,0.327869,16,100.868638
26,0.721311,0.303279,16,102.200773
27,0.713115,0.311475,16,103.114766
28,0.672131,0.360656,32,92.145573
29,0.704918,0.327869,32,93.067119
30,0.696721,0.336066,32,94.263664
