numIter,CCR,MAE,NH,CompTime
1,0.616000,0.408000,32,80.266864
2,0.604000,0.456000,32,81.113165
3,0.604000,0.432000,32,81.791046
4,0.556000,0.488000,8,83.787376
5,0.584000,0.456000,8,84.630677
6,0.540000,0.492000,8,85.191049
7,0.572000,0.448000,8,77.563661
8,0.600000,0.420000,8,78.216927
9,0.544000,0.496000,8,78.778827
10,0.612000,0.412000,32,78.572674
11,0.644000,0.380000,32,79.450127
12,0.644000,0.384000,32,80.136519
13,0.520000,0.516000,8,78.218553
14,0.612000,0.412000,8,78.919299
15,0.608000,0.412000,8,79.893889
16,0.572000,0.476000,16,80.619956
17,0.604000,0.448000,16,81.362095
18,0.600000,0.444000,16,82.447892
19,0.564000,0.448000,16,98.045986
20,0.584000,0.424000,16,99.722214
21,0.580000,0.428000,16,101.483137
22,0.652000,0.368000,32,101.355211
23,0.640000,0.388000,32,102.908453
24,0.640000,0.384000,32,103.668111
25,0.592000,0.428000,32,85.416408
26,0.604000,0.432000,32,86.095126
27,0.608000,0.408000,32,87.076322
28,0.656000,0.376000,16,81.639785
29,0.600000,0.444000,16,82.864609
30,0.612000,0.424000,16,84.223846
