numIter,CCR,MAE,NH,CompTime
1,0.552000,0.472000,16,69.075582
2,0.580000,0.444000,16,70.213074
3,0.552000,0.484000,16,71.404527
4,0.576000,0.464000,16,66.856671
5,0.584000,0.444000,16,67.917688
6,0.584000,0.460000,16,68.998294
7,0.616000,0.400000,4,68.606040
8,0.572000,0.468000,4,69.373810
9,0.600000,0.428000,4,70.056346
10,0.544000,0.484000,8,74.103700
11,0.592000,0.440000,8,75.320514
12,0.564000,0.460000,8,76.344302
13,0.604000,0.420000,8,70.214325
14,0.576000,0.444000,8,70.914067
15,0.592000,0.436000,8,71.507590
16,0.552000,0.480000,16,78.526392
17,0.548000,0.472000,16,79.437080
18,0.580000,0.440000,16,80.001902
19,0.596000,0.416000,8,84.808671
20,0.584000,0.432000,8,85.435177
21,0.540000,0.488000,8,86.182248
22,0.532000,0.516000,8,91.165473
23,0.524000,0.520000,8,91.918158
24,0.560000,0.468000,8,92.581271
25,0.540000,0.512000,32,94.583567
26,0.528000,0.524000,32,95.351649
27,0.464000,0.572000,32,96.007213
28,0.512000,0.504000,16,90.477380
29,0.560000,0.468000,16,91.031556
30,0.544000,0.476000,16,91.777624
