numIter,CCR,MAE,NH,CompTime
1,0.480769,0.653846,32,93.094352
2,0.538462,0.788462,32,94.889793
3,0.730769,0.365385,32,96.891213
4,0.653846,0.442308,32,82.703460
5,0.423077,0.730769,32,83.732745
6,0.711538,0.365385,32,85.084591
7,0.596154,0.653846,32,74.788456
8,0.480769,0.711538,32,76.002375
9,0.730769,0.326923,32,77.727133
10,0.576923,0.750000,16,63.014245
11,0.519231,0.673077,16,64.158049
12,0.538462,0.692308,16,65.511677
13,0.538462,0.634615,32,67.701905
14,0.576923,0.615385,32,68.513606
15,0.692308,0.480769,32,69.283688
16,0.596154,0.596154,32,56.909019
17,0.673077,0.480769,32,57.548274
18,0.653846,0.480769,32,58.238033
19,0.653846,0.500000,32,55.620439
20,0.692308,0.442308,32,56.458364
21,0.538462,0.692308,32,57.064387
22,0.576923,0.596154,32,54.333290
23,0.615385,0.653846,32,54.953139
24,0.596154,0.557692,32,55.760442
25,0.519231,0.769231,32,60.943545
26,0.500000,0.788462,32,61.680323
27,0.557692,0.653846,32,62.469532
28,0.634615,0.461538,32,55.954954
29,0.826923,0.250000,32,56.800467
30,0.576923,0.596154,32,57.397560
