numIter,CCR,MAE,NH,CompTime
1,0.910828,0.101911,32,57.696494
2,0.942675,0.082803,32,58.481274
3,0.904459,0.114650,32,59.114637
4,0.942675,0.063694,32,57.062635
5,0.949045,0.057325,32,57.857067
6,0.968153,0.038217,32,58.746454
7,0.904459,0.114650,16,56.484056
8,0.917197,0.089172,16,57.043869
9,0.929936,0.082803,16,57.741806
10,0.923567,0.076433,16,53.879592
11,0.961783,0.057325,16,54.778862
12,0.949045,0.063694,16,55.408901
13,0.949045,0.063694,16,54.753924
14,0.853503,0.210191,16,55.274971
15,0.898089,0.121019,16,55.811972
16,0.929936,0.076433,32,57.704460
17,0.923567,0.082803,32,58.302384
18,0.936306,0.063694,32,59.076371
19,0.955414,0.050955,16,59.304432
20,0.904459,0.108280,16,59.867301
21,0.968153,0.038217,16,60.641971
22,0.968153,0.038217,32,54.123307
23,0.949045,0.063694,32,55.157696
24,0.904459,0.101911,32,55.683436
25,0.898089,0.114650,32,58.392956
26,0.910828,0.101911,32,58.976779
27,0.949045,0.050955,32,59.621647
28,0.923567,0.089172,16,56.255009
29,0.904459,0.108280,16,56.830125
30,0.929936,0.089172,16,57.412558
