numIter,CCR,MAE,NH,CompTime
1,0.666667,0.400000,16,32.132868
2,0.533333,0.666667,16,32.659737
3,0.600000,0.466667,16,33.241910
4,0.666667,0.400000,4,31.763658
5,0.533333,0.733333,4,32.362206
6,0.533333,0.666667,4,32.926967
7,0.533333,0.600000,16,31.035668
8,0.600000,0.533333,16,31.556096
9,0.600000,0.533333,16,32.081018
10,0.600000,0.600000,16,31.820959
11,0.600000,0.600000,16,32.360409
12,0.666667,0.466667,16,32.891236
13,0.533333,0.666667,32,33.563667
14,0.400000,0.866667,32,34.098812
15,0.533333,0.600000,32,34.634752
16,0.533333,0.666667,32,31.884221
17,0.533333,0.666667,32,32.405902
18,0.666667,0.400000,32,32.961736
19,0.600000,0.600000,32,31.754275
20,0.666667,0.533333,32,32.286801
21,0.533333,0.533333,32,32.830340
22,0.600000,0.600000,16,32.910873
23,0.533333,0.666667,16,33.731668
24,0.333333,0.800000,16,34.463909
25,0.533333,0.733333,32,36.406399
26,0.533333,0.800000,32,37.316972
27,0.466667,0.800000,32,38.429347
28,0.600000,0.533333,8,35.388399
29,0.466667,0.600000,8,36.044441
30,0.600000,0.466667,8,36.831163
