numIter,CCR,MAE,NH,CompTime
1,0.958333,0.043981,32,226.393012
2,0.944444,0.062500,32,228.835668
3,0.965278,0.037037,32,230.871909
4,0.979167,0.025463,32,202.167168
5,0.983796,0.016204,32,205.027874
6,0.981481,0.023148,32,207.829281
7,0.972222,0.032407,32,174.261568
8,0.974537,0.032407,32,178.433216
9,0.967593,0.037037,32,180.947405
10,0.979167,0.027778,16,194.213574
11,0.983796,0.018519,16,196.910010
12,0.967593,0.037037,16,199.067734
13,0.981481,0.023148,32,182.252793
14,0.962963,0.041667,32,184.494332
15,0.983796,0.018519,32,186.581949
16,0.981481,0.018519,32,223.682423
17,0.988426,0.011574,32,225.426108
18,0.983796,0.016204,32,226.728119
19,0.974537,0.027778,32,217.977243
20,0.967593,0.043981,32,219.510728
21,0.972222,0.032407,32,220.887031
22,0.993056,0.006944,32,258.591102
23,0.993056,0.009259,32,260.277011
24,0.986111,0.016204,32,261.883019
25,0.983796,0.018519,32,244.065082
26,0.979167,0.027778,32,248.886129
27,0.986111,0.013889,32,253.490846
28,0.979167,0.023148,32,226.566350
29,0.986111,0.016204,32,229.881659
30,0.990741,0.009259,32,233.665970
