numIter,CCR,MAE,NH,CompTime
1,0.666667,0.333333,32,37.287027
2,1.000000,0.000000,32,37.774725
3,0.833333,0.333333,32,38.320482
4,0.333333,1.166667,1,35.215124
5,0.833333,0.333333,1,35.796073
6,0.166667,1.500000,1,36.343266
7,0.833333,0.166667,32,33.590399
8,0.500000,0.500000,32,34.065188
9,0.333333,1.000000,32,34.540757
10,0.666667,0.500000,16,34.664080
11,0.666667,0.333333,16,35.187971
12,0.500000,0.666667,16,35.671418
13,0.833333,0.333333,32,33.283002
14,0.666667,0.666667,32,33.828097
15,0.833333,0.333333,32,34.321844
16,0.666667,0.333333,2,35.278676
17,0.666667,0.500000,2,35.753695
18,1.000000,0.000000,2,36.317772
19,0.666667,0.500000,32,36.388497
20,0.500000,0.833333,32,36.888895
21,0.500000,0.833333,32,37.425510
22,0.666667,0.333333,32,34.556766
23,0.500000,0.500000,32,35.035464
24,0.833333,0.166667,32,35.573715
25,0.333333,0.833333,32,35.650899
26,0.666667,0.500000,32,36.136839
27,0.666667,0.500000,32,36.640007
28,0.833333,0.333333,32,34.155435
29,0.833333,0.333333,32,34.648851
30,0.833333,0.333333,32,35.169734
