numIter,CCR,MAE,NH,CompTime
1,0.657609,0.418478,32,86.983433
2,0.657609,0.423913,32,88.444341
3,0.635870,0.429348,32,90.359443
4,0.559783,0.510870,16,103.153928
5,0.635870,0.407609,16,104.392842
6,0.608696,0.483696,16,105.320662
7,0.570652,0.510870,32,137.773911
8,0.603261,0.516304,32,139.822835
9,0.608696,0.500000,32,141.585741
10,0.543478,0.538043,16,127.898603
11,0.554348,0.543478,16,129.476039
12,0.603261,0.445652,16,130.853702
13,0.521739,0.592391,16,129.088374
14,0.581522,0.494565,16,131.118791
15,0.619565,0.472826,16,133.236031
16,0.630435,0.434783,32,132.230281
17,0.619565,0.407609,32,134.780232
18,0.592391,0.429348,32,137.684820
19,0.635870,0.451087,16,138.123127
20,0.603261,0.516304,16,140.024503
21,0.657609,0.391304,16,142.181114
22,0.625000,0.418478,32,134.150526
23,0.597826,0.445652,32,136.870417
24,0.586957,0.494565,32,139.516383
25,0.592391,0.472826,16,124.936632
26,0.586957,0.500000,16,126.976282
27,0.510870,0.625000,16,128.238887
28,0.592391,0.516304,32,124.574774
29,0.603261,0.445652,32,126.291711
30,0.592391,0.472826,32,127.615487
