numIter,CCR,MAE,NH,CompTime
1,0.944444,0.055556,8,56.391590
2,0.962963,0.037037,8,57.152590
3,0.962963,0.037037,8,57.881753
4,0.981481,0.018519,8,56.624350
5,0.907407,0.092593,8,57.198756
6,0.981481,0.018519,8,57.909303
7,0.944444,0.055556,8,58.100112
8,0.944444,0.055556,8,58.813688
9,0.944444,0.055556,8,59.369146
10,0.981481,0.018519,32,56.105439
11,0.981481,0.018519,32,56.912449
12,0.981481,0.018519,32,57.755937
13,0.944444,0.055556,32,58.384526
14,1.000000,0.000000,32,58.962763
15,1.000000,0.000000,32,59.537113
16,0.981481,0.018519,16,51.235736
17,0.925926,0.074074,16,51.771279
18,0.962963,0.037037,16,52.420730
19,0.944444,0.055556,16,56.154932
20,0.907407,0.092593,16,56.690510
21,0.944444,0.055556,16,57.343875
22,0.851852,0.148148,32,61.574390
23,0.944444,0.055556,32,62.214086
24,0.962963,0.037037,32,62.928800
25,1.000000,0.000000,32,54.516787
26,0.962963,0.037037,32,55.096721
27,0.981481,0.018519,32,55.696183
28,0.981481,0.018519,32,54.400743
29,0.962963,0.037037,32,55.023636
30,0.925926,0.074074,32,55.661342
