numIter,CCR,MAE,NH,CompTime
1,0.666667,0.333333,16,32.848349
2,0.777778,0.333333,16,33.347032
3,0.444444,0.666667,16,33.859302
4,0.666667,0.444444,16,32.436724
5,0.666667,0.333333,16,32.995108
6,0.777778,0.222222,16,33.620799
7,0.777778,0.222222,32,33.168610
8,0.444444,0.555556,32,33.689824
9,0.555556,0.444444,32,34.201492
10,0.555556,0.555556,16,31.480980
11,0.777778,0.222222,16,32.000769
12,0.777778,0.222222,16,32.519514
13,0.777778,0.333333,16,31.884995
14,0.777778,0.333333,16,32.395708
15,0.666667,0.333333,16,32.901453
16,0.666667,0.444444,32,32.755855
17,0.777778,0.222222,32,33.269784
18,0.777778,0.222222,32,33.843322
19,0.666667,0.333333,8,35.256478
20,0.777778,0.222222,8,35.846588
21,0.666667,0.333333,8,36.382160
22,0.777778,0.222222,16,32.476834
23,0.777778,0.222222,16,32.985779
24,0.888889,0.222222,16,33.507996
25,1.000000,0.000000,16,30.053371
26,0.666667,0.444444,16,30.558909
27,0.777778,0.222222,16,31.086716
28,0.888889,0.111111,8,31.983072
29,0.666667,0.333333,8,32.487174
30,0.777778,0.222222,8,33.014020
