numIter,CCR,MAE,NH,CompTime
1,0.692308,0.307692,32,33.018301
2,0.769231,0.230769,32,33.628657
3,0.615385,0.384615,32,34.220098
4,0.615385,0.461538,32,34.090601
5,0.461538,0.615385,32,34.621919
6,0.615385,0.461538,32,35.174346
7,0.846154,0.153846,16,33.108731
8,0.846154,0.153846,16,33.677626
9,0.846154,0.230769,16,34.273966
10,0.461538,0.615385,16,34.157002
11,0.384615,0.692308,16,34.737629
12,0.461538,0.615385,16,35.286944
13,0.615385,0.384615,32,32.994004
14,0.692308,0.307692,32,33.542206
15,0.538462,0.461538,32,34.125155
16,0.846154,0.153846,32,36.852136
17,0.769231,0.230769,32,37.460467
18,0.846154,0.153846,32,38.035101
19,0.538462,0.461538,32,33.857159
20,0.692308,0.384615,32,34.403277
21,0.769231,0.230769,32,35.252874
22,0.615385,0.384615,32,35.817345
23,0.846154,0.153846,32,36.377911
24,0.692308,0.307692,32,36.960697
25,0.769231,0.307692,32,35.224621
26,0.615385,0.384615,32,35.823314
27,0.692308,0.307692,32,36.384940
28,0.538462,0.461538,32,34.645769
29,0.538462,0.461538,32,35.204983
30,0.461538,0.538462,32,35.872486
