numIter,CCR,MAE,NH,CompTime
1,0.692308,0.307692,16,38.555008
2,0.692308,0.307692,16,39.083568
3,0.769231,0.230769,16,39.616729
4,0.692308,0.307692,32,37.501771
5,0.846154,0.153846,32,38.234359
6,0.692308,0.307692,32,38.964258
7,0.538462,0.461538,8,38.250728
8,0.538462,0.461538,8,38.816182
9,0.615385,0.384615,8,39.375852
10,0.769231,0.230769,16,37.538394
11,0.615385,0.384615,16,38.065717
12,0.769231,0.230769,16,38.611913
13,0.692308,0.307692,32,38.534547
14,0.692308,0.307692,32,39.131538
15,0.769231,0.230769,32,39.745798
16,0.769231,0.230769,32,37.765312
17,0.923077,0.076923,32,38.336859
18,0.615385,0.384615,32,38.886442
19,0.615385,0.384615,16,38.103891
20,1.000000,0.000000,16,38.652105
21,0.615385,0.384615,16,39.178142
22,0.538462,0.461538,8,40.237490
23,0.538462,0.461538,8,40.856357
24,0.538462,0.461538,8,41.398202
25,0.692308,0.307692,16,36.013871
26,0.692308,0.307692,16,36.580837
27,0.769231,0.230769,16,37.161816
28,0.461538,0.538462,32,35.405337
29,0.461538,0.538462,32,36.020152
30,0.461538,0.538462,32,36.722897
