numIter,CCR,MAE,NH,CompTime
1,0.447368,0.710526,32,44.093534
2,0.473684,0.710526,32,44.692259
3,0.500000,0.605263,32,45.362586
4,0.473684,0.605263,16,44.227137
5,0.500000,0.578947,16,44.868795
6,0.394737,0.710526,16,45.475661
7,0.394737,0.894737,4,44.590749
8,0.342105,0.763158,4,45.174024
9,0.421053,0.578947,4,45.728800
10,0.447368,0.710526,16,43.698689
11,0.526316,0.736842,16,44.715966
12,0.447368,0.710526,16,45.414942
13,0.447368,0.710526,32,43.306576
14,0.315789,0.894737,32,43.843100
15,0.421053,0.815789,32,44.405563
16,0.552632,0.736842,8,45.855199
17,0.500000,0.710526,8,46.438884
18,0.236842,1.184211,8,46.966350
19,0.447368,0.657895,32,45.703597
20,0.473684,0.631579,32,46.555656
21,0.473684,0.684211,32,47.233145
22,0.447368,0.789474,4,43.738797
23,0.263158,1.026316,4,44.310920
24,0.315789,1.026316,4,44.864981
25,0.236842,1.026316,16,43.165465
26,0.394737,0.815789,16,43.934546
27,0.421053,0.763158,16,44.567184
28,0.500000,0.631579,16,45.620270
29,0.289474,0.789474,16,46.241698
30,0.342105,0.736842,16,46.918825
