numIter,CCR,MAE,NH,CompTime
1,0.939444,0.110000,32,478.542093
2,0.942222,0.105556,32,487.274355
3,0.942222,0.106667,32,495.896737
4,0.943333,0.103333,32,626.213597
5,0.942778,0.105556,32,634.430876
6,0.946667,0.098889,32,646.226503
7,0.940000,0.110000,16,784.618538
8,0.943889,0.101667,16,798.528671
9,0.926111,0.125000,16,800.407434
10,0.941667,0.107778,32,708.396940
11,0.943889,0.101111,32,716.113162
12,0.942778,0.103889,32,729.212300
13,0.961111,0.070556,32,832.914136
14,0.943333,0.106111,32,838.570121
15,0.942778,0.107778,32,842.982983
16,0.941667,0.109444,32,798.487837
17,0.940556,0.110556,32,803.753550
18,0.941111,0.110000,32,814.128440
19,0.956111,0.079444,32,749.626394
20,0.941111,0.108889,32,754.637222
21,0.942222,0.107222,32,761.907159
22,0.939444,0.110000,32,754.395814
23,0.943889,0.106111,32,760.422473
24,0.945000,0.103889,32,768.763667
25,0.956111,0.080556,32,794.443878
26,0.943333,0.106111,32,800.816268
27,0.951667,0.092222,32,835.714167
28,0.940556,0.106111,16,646.169532
29,0.973333,0.043889,16,682.267846
30,0.940556,0.108889,16,688.232570
