numIter,CCR,MAE,NH,CompTime
1,0.605000,0.420000,8,180.303867
2,0.602500,0.422500,8,181.382909
3,0.600000,0.422500,8,183.102819
4,0.570000,0.485000,32,171.313057
5,0.575000,0.470000,32,172.927601
6,0.557500,0.492500,32,174.178725
7,0.577500,0.462500,32,157.054650
8,0.580000,0.457500,32,158.521862
9,0.572500,0.470000,32,159.526745
10,0.597500,0.440000,32,147.390033
11,0.597500,0.437500,32,150.120504
12,0.590000,0.457500,32,155.625960
13,0.550000,0.477500,16,153.326494
14,0.565000,0.465000,16,157.211427
15,0.547500,0.480000,16,159.101383
16,0.590000,0.445000,32,153.285101
17,0.577500,0.457500,32,155.354207
18,0.597500,0.442500,32,157.800509
19,0.547500,0.495000,32,112.647250
20,0.557500,0.482500,32,113.851294
21,0.562500,0.477500,32,115.152849
22,0.582500,0.460000,32,212.181674
23,0.577500,0.465000,32,218.060627
24,0.592500,0.455000,32,222.497155
25,0.575000,0.470000,32,123.334716
26,0.602500,0.432500,32,124.460066
27,0.570000,0.472500,32,125.807377
28,0.570000,0.470000,32,220.395902
29,0.582500,0.452500,32,223.221931
30,0.575000,0.457500,32,225.463287
