numIter,CCR,MAE,NH,CompTime
1,0.525714,0.528980,32,472.718929
2,0.537143,0.515918,32,478.898004
3,0.533878,0.526531,32,486.452733
4,0.553469,0.502041,32,492.413339
5,0.548571,0.517551,32,498.748994
6,0.546939,0.511837,32,504.331909
7,0.535510,0.516735,32,502.586573
8,0.539592,0.515918,32,505.444831
9,0.544490,0.510204,32,509.019749
10,0.559184,0.496327,32,439.600623
11,0.551020,0.505306,32,442.201230
12,0.555918,0.511837,32,444.709318
13,0.560000,0.508571,32,426.057543
14,0.560816,0.501224,32,433.531953
15,0.547755,0.509388,32,440.001835
16,0.528980,0.528163,16,421.275589
17,0.526531,0.535510,16,427.596872
18,0.542857,0.524082,16,432.304687
19,0.546939,0.510204,32,443.623211
20,0.549388,0.511837,32,450.717200
21,0.549388,0.511837,32,460.445679
22,0.536327,0.517551,32,298.064680
23,0.536327,0.524898,32,302.440650
24,0.545306,0.515102,32,306.669210
25,0.551020,0.512653,32,267.801558
26,0.549388,0.515102,32,270.181043
27,0.555102,0.508571,32,272.601412
28,0.519184,0.538776,32,260.526432
29,0.541224,0.508571,32,263.842295
30,0.533878,0.520000,32,266.384360
