numIter,CCR,MAE,NH,CompTime
1,0.320000,1.156000,8,87.299913
2,0.332000,1.164000,8,88.511411
3,0.256000,1.232000,8,89.481787
4,0.276000,1.172000,16,92.553754
5,0.240000,1.260000,16,93.346466
6,0.232000,1.256000,16,94.618155
7,0.288000,1.188000,16,88.554431
8,0.248000,1.268000,16,89.796162
9,0.296000,1.216000,16,90.997336
10,0.280000,1.180000,16,90.757959
11,0.284000,1.300000,16,92.294864
12,0.264000,1.264000,16,93.218881
13,0.244000,1.252000,1,98.233644
14,0.276000,1.196000,1,99.107357
15,0.236000,1.368000,1,99.968383
16,0.280000,1.208000,32,89.114847
17,0.296000,1.140000,32,90.517757
18,0.284000,1.160000,32,91.947673
19,0.264000,1.184000,4,90.715769
20,0.256000,1.340000,4,91.736844
21,0.252000,1.280000,4,92.716020
22,0.276000,1.212000,8,90.651273
23,0.256000,1.248000,8,91.893868
24,0.272000,1.200000,8,92.971112
25,0.280000,1.288000,32,92.285472
26,0.252000,1.472000,32,93.534491
27,0.272000,1.436000,32,94.667319
28,0.216000,1.260000,32,88.347897
29,0.264000,1.140000,32,89.220068
30,0.236000,1.164000,32,90.009554
