numIter,CCR,MAE,NH,CompTime
1,0.762295,0.245902,32,73.111055
2,0.762295,0.254098,32,73.954598
3,0.721311,0.295082,32,74.902812
4,0.704918,0.311475,32,72.731284
5,0.721311,0.295082,32,73.573849
6,0.713115,0.319672,32,74.395547
7,0.729508,0.278689,32,72.644063
8,0.614754,0.409836,32,73.415949
9,0.614754,0.385246,32,74.203063
10,0.729508,0.286885,32,72.923912
11,0.713115,0.303279,32,73.896835
12,0.721311,0.295082,32,74.752250
13,0.696721,0.319672,1,73.309400
14,0.680328,0.344262,1,74.430872
15,0.713115,0.311475,1,75.333860
16,0.729508,0.278689,32,68.860636
17,0.778689,0.221311,32,69.771369
18,0.754098,0.254098,32,70.685123
19,0.655738,0.368852,8,71.847641
20,0.688525,0.319672,8,72.982492
21,0.672131,0.336066,8,73.809356
22,0.663934,0.368852,16,75.645535
23,0.778689,0.254098,16,76.503528
24,0.696721,0.344262,16,77.310532
25,0.729508,0.278689,16,76.199186
26,0.762295,0.245902,16,77.482252
27,0.745902,0.262295,16,78.488366
28,0.713115,0.303279,16,74.576613
29,0.754098,0.270492,16,75.391821
30,0.713115,0.319672,16,76.566124
