numIter,CCR,MAE,NH,CompTime
1,0.596000,0.440000,1,71.444229
2,0.600000,0.428000,1,72.153309
3,0.588000,0.440000,1,72.778424
4,0.548000,0.492000,16,73.158229
5,0.512000,0.516000,16,73.751552
6,0.556000,0.484000,16,74.402532
7,0.664000,0.356000,32,70.268842
8,0.668000,0.352000,32,70.951872
9,0.672000,0.356000,32,71.690842
10,0.620000,0.404000,1,68.617956
11,0.636000,0.392000,1,69.523429
12,0.616000,0.412000,1,70.526389
13,0.604000,0.420000,16,72.057636
14,0.612000,0.404000,16,72.689486
15,0.636000,0.380000,16,73.315681
16,0.620000,0.424000,16,72.732791
17,0.600000,0.444000,16,73.418169
18,0.604000,0.436000,16,74.054849
19,0.540000,0.480000,8,72.068269
20,0.568000,0.448000,8,72.674963
21,0.568000,0.444000,8,73.281402
22,0.652000,0.368000,32,67.702705
23,0.644000,0.372000,32,68.392009
24,0.648000,0.372000,32,69.224341
25,0.620000,0.400000,1,67.442029
26,0.600000,0.424000,1,68.160931
27,0.620000,0.400000,1,69.214297
28,0.580000,0.448000,1,66.942955
29,0.664000,0.372000,1,67.764071
30,0.556000,0.472000,1,68.477861
