numIter,CCR,MAE,NH,CompTime
1,0.552000,0.472000,8,63.418932
2,0.580000,0.440000,8,64.041602
3,0.568000,0.452000,8,64.599161
4,0.552000,0.456000,8,66.767482
5,0.584000,0.448000,8,67.456884
6,0.576000,0.448000,8,68.171364
7,0.592000,0.432000,16,83.609277
8,0.600000,0.416000,16,84.366476
9,0.560000,0.480000,16,85.291162
10,0.572000,0.436000,8,83.914320
11,0.624000,0.388000,8,84.618615
12,0.584000,0.432000,8,85.567129
13,0.624000,0.380000,16,68.208843
14,0.600000,0.404000,16,68.956250
15,0.600000,0.412000,16,70.159131
16,0.584000,0.428000,8,64.160502
17,0.536000,0.480000,8,64.732714
18,0.564000,0.464000,8,65.322255
19,0.576000,0.444000,8,67.910933
20,0.560000,0.444000,8,68.631902
21,0.584000,0.428000,8,69.548274
22,0.524000,0.504000,8,68.898980
23,0.560000,0.468000,8,69.592622
24,0.536000,0.492000,8,70.357339
25,0.548000,0.484000,32,71.535946
26,0.528000,0.524000,32,72.558646
27,0.532000,0.500000,32,73.465484
28,0.524000,0.484000,16,64.914710
29,0.552000,0.456000,16,65.506323
30,0.556000,0.448000,16,66.168129
