numIter,CCR,MAE,NH,CompTime
1,0.596154,0.519231,16,85.747170
2,0.634615,0.461538,16,87.920509
3,0.673077,0.423077,16,89.453910
4,0.750000,0.288462,32,82.084880
5,0.730769,0.346154,32,83.918852
6,0.673077,0.365385,32,85.304232
7,0.615385,0.423077,16,86.627201
8,0.692308,0.365385,16,88.482431
9,0.326923,0.884615,16,89.425752
10,0.557692,0.538462,32,96.619424
11,0.596154,0.442308,32,98.211527
12,0.576923,0.480769,32,99.974041
13,0.673077,0.423077,32,95.484119
14,0.634615,0.576923,32,97.477025
15,0.653846,0.480769,32,99.114709
16,0.653846,0.461538,8,87.888840
17,0.692308,0.403846,8,89.611253
18,0.596154,0.480769,8,91.341020
19,0.692308,0.384615,32,106.156652
20,0.788462,0.230769,32,107.093248
21,0.615385,0.461538,32,107.825167
22,0.730769,0.346154,16,90.299342
23,0.730769,0.326923,16,91.175830
24,0.615385,0.442308,16,91.869013
25,0.576923,0.500000,32,90.537970
26,0.576923,0.538462,32,91.272478
27,0.576923,0.557692,32,92.074490
28,0.692308,0.346154,32,79.185589
29,0.730769,0.346154,32,81.014182
30,0.596154,0.461538,32,82.121662
