numIter,CCR,MAE,NH,CompTime
1,0.955414,0.050955,16,65.743054
2,0.961783,0.057325,16,66.649109
3,0.968153,0.031847,16,67.307758
4,0.974522,0.025478,16,69.137743
5,0.974522,0.025478,16,70.339063
6,0.936306,0.063694,16,70.976060
7,0.974522,0.025478,32,70.769429
8,0.974522,0.025478,32,71.519097
9,0.980892,0.019108,32,72.149978
10,0.974522,0.025478,16,65.603547
11,0.980892,0.025478,16,66.198870
12,0.955414,0.044586,16,66.870230
13,0.968153,0.031847,16,65.753556
14,0.955414,0.057325,16,66.665470
15,0.936306,0.063694,16,67.410740
16,0.980892,0.025478,16,63.400353
17,0.968153,0.031847,16,64.024448
18,0.993631,0.006369,16,64.806097
19,0.961783,0.044586,32,65.129104
20,0.968153,0.031847,32,65.748934
21,0.961783,0.038217,32,66.529389
22,0.980892,0.019108,8,67.015900
23,0.910828,0.101911,8,67.608999
24,0.923567,0.076433,8,68.264202
25,0.955414,0.050955,32,62.827839
26,0.955414,0.044586,32,63.467910
27,0.968153,0.031847,32,64.267416
28,0.974522,0.038217,32,62.237717
29,0.980892,0.019108,32,63.262287
30,0.961783,0.038217,32,63.862226
