numIter,CCR,MAE,NH,CompTime
1,0.666667,0.533333,8,40.546571
2,0.600000,0.600000,8,41.116781
3,0.466667,0.666667,8,41.701918
4,0.533333,0.600000,4,40.624989
5,0.533333,0.600000,4,41.296239
6,0.600000,0.600000,4,41.878668
7,0.600000,0.533333,8,39.773189
8,0.600000,0.533333,8,40.344563
9,0.666667,0.466667,8,40.907160
10,0.533333,0.666667,8,40.084405
11,0.600000,0.600000,8,40.669137
12,0.600000,0.600000,8,41.248813
13,0.466667,0.733333,16,40.631065
14,0.533333,0.466667,16,41.257619
15,0.466667,0.666667,16,41.862001
16,0.666667,0.400000,32,40.102882
17,0.600000,0.666667,32,40.703840
18,0.600000,0.466667,32,41.318584
19,0.600000,0.533333,4,40.196201
20,0.600000,0.600000,4,40.778431
21,0.733333,0.333333,4,41.406988
22,0.600000,0.600000,8,40.481213
23,0.600000,0.600000,8,41.061030
24,0.600000,0.533333,8,41.649272
25,0.466667,0.733333,32,41.032928
26,0.333333,0.733333,32,41.687307
27,0.400000,0.666667,32,42.326742
28,0.600000,0.600000,4,40.187696
29,0.600000,0.600000,4,40.789510
30,0.600000,0.600000,4,41.374077
