numIter,CCR,MAE,NH,CompTime
1,0.946759,0.053241,32,151.887842
2,0.965278,0.034722,32,153.286324
3,0.946759,0.053241,32,154.580300
4,0.990741,0.009259,32,255.452242
5,0.960648,0.039352,32,257.318668
6,0.969907,0.030093,32,259.064653
7,0.969907,0.030093,32,223.374036
8,0.962963,0.037037,32,225.835342
9,0.967593,0.032407,32,230.982927
10,0.976852,0.023148,32,219.152456
11,0.956019,0.046296,32,222.734081
12,0.972222,0.030093,32,226.209490
13,0.969907,0.030093,32,224.324821
14,0.956019,0.043981,32,227.877676
15,0.972222,0.027778,32,231.555674
16,0.986111,0.013889,32,226.990909
17,0.981481,0.018519,32,230.807854
18,0.974537,0.025463,32,234.681901
19,0.979167,0.020833,32,241.254538
20,0.962963,0.037037,32,244.268623
21,0.962963,0.037037,32,248.276521
22,0.976852,0.023148,32,263.952307
23,0.986111,0.013889,32,269.189546
24,0.981481,0.018519,32,273.857618
25,0.969907,0.030093,32,261.397656
26,0.972222,0.027778,32,262.945080
27,0.958333,0.041667,32,264.379748
28,0.965278,0.034722,16,248.642184
29,0.956019,0.043981,16,249.802035
30,0.967593,0.032407,16,251.448573
