numIter,CCR,MAE,NH,CompTime
1,0.833333,0.166667,8,51.198859
2,0.666667,0.333333,8,51.744441
3,0.833333,0.333333,8,52.360742
4,0.500000,0.500000,16,56.885605
5,0.500000,0.500000,16,57.525216
6,0.500000,0.500000,16,58.067246
7,0.333333,0.833333,4,47.291733
8,0.500000,0.666667,4,47.890259
9,0.333333,0.666667,4,48.471094
10,0.666667,0.333333,8,54.795185
11,0.666667,0.333333,8,55.640687
12,0.666667,0.333333,8,56.247796
13,0.666667,0.500000,8,52.674727
14,0.666667,0.500000,8,53.311953
15,0.500000,0.666667,8,53.874049
16,0.833333,0.166667,32,51.466867
17,0.833333,0.166667,32,52.038862
18,0.833333,0.166667,32,52.605775
19,0.500000,0.833333,4,50.051482
20,0.666667,0.500000,4,50.652619
21,0.666667,0.500000,4,51.263870
22,0.833333,0.333333,16,57.963919
23,0.833333,0.333333,16,58.541606
24,0.833333,0.333333,16,59.156156
25,0.833333,0.166667,16,52.982173
26,0.666667,0.333333,16,53.646113
27,0.666667,0.333333,16,54.223429
28,0.500000,0.500000,32,56.966584
29,0.666667,0.500000,32,57.501004
30,0.500000,0.500000,32,58.527886
