numIter,CCR,MAE,NH,CompTime
1,0.663043,0.375000,32,139.904202
2,0.695652,0.336957,32,141.017066
3,0.663043,0.375000,32,141.906766
4,0.614130,0.413043,32,133.851583
5,0.646739,0.375000,32,135.390441
6,0.603261,0.434783,32,136.199342
7,0.635870,0.402174,32,134.407011
8,0.663043,0.385870,32,135.440279
9,0.614130,0.429348,32,136.585156
10,0.711957,0.342391,16,131.246496
11,0.717391,0.336957,16,132.146056
12,0.679348,0.385870,16,133.291784
13,0.635870,0.413043,32,137.933579
14,0.652174,0.385870,32,138.898911
15,0.635870,0.396739,32,140.001763
16,0.559783,0.456522,32,138.885796
17,0.619565,0.402174,32,140.161285
18,0.635870,0.380435,32,141.715885
19,0.641304,0.413043,32,130.816867
20,0.625000,0.413043,32,132.149242
21,0.673913,0.364130,32,133.181465
22,0.641304,0.385870,32,132.055419
23,0.679348,0.353261,32,133.322255
24,0.625000,0.396739,32,134.621499
25,0.701087,0.342391,16,100.018357
26,0.711957,0.309783,16,101.103338
27,0.657609,0.364130,16,102.228588
28,0.625000,0.407609,16,97.540006
29,0.635870,0.407609,16,98.621027
30,0.663043,0.369565,16,99.599710
