dataset,CCRMean,CCRSD,MAEMean,MAESD,NHMean,NHSD
ERA,0.267600,0.025415,1.240133,0.081750,16.500000,11.843892
ESL,0.714481,0.041744,0.302732,0.044685,21.700000,11.757267
LEV,0.607067,0.040936,0.419333,0.043490,12.400000,12.231108
SWD,0.567733,0.027270,0.451467,0.033855,12.800000,7.728734
automobile,0.641667,0.085480,0.443590,0.117023,24.800000,9.577752
balance,0.963907,0.018041,0.039066,0.019843,21.600000,9.276014
bondrate,0.568889,0.083475,0.584444,0.093765,12.400000,10.905656
car,0.968827,0.010955,0.031327,0.011039,30.400000,5.059644
contact-lenses,0.650000,0.153815,0.427778,0.184055,14.400000,10.362325
depresion,0.647475,0.149711,0.430808,0.179999,13.800000,10.932114
eucalyptus,0.650906,0.035615,0.385145,0.032663,27.200000,7.728734
newthyroid,0.964198,0.024284,0.035802,0.024284,5.300000,9.499123
pasture,0.648148,0.127468,0.351852,0.127468,9.700000,11.981931
squash-stored,0.661538,0.115340,0.353846,0.125507,12.000000,8.432740
squash-unstored,0.653846,0.156150,0.348718,0.160001,13.300000,11.353414
tae,0.441228,0.072047,0.648246,0.068233,17.200000,11.003030
thyroid,0.929426,0.006682,0.118352,0.013353,25.600000,8.262364
winequality-red,0.580833,0.020754,0.449917,0.022993,18.000000,10.540926
winequality-white,0.540789,0.012448,0.508408,0.012904,28.000000,8.640988
