numIter,CCR,MAE,NH,CompTime
1,0.944444,0.055556,4,70.795148
2,0.962963,0.037037,4,71.550893
3,0.944444,0.055556,4,72.267727
4,0.981481,0.018519,4,68.680562
5,0.981481,0.018519,4,69.369708
6,0.981481,0.018519,4,70.154898
7,0.944444,0.055556,1,71.276647
8,0.925926,0.074074,1,72.438756
9,0.925926,0.074074,1,73.213927
10,0.981481,0.018519,1,69.448458
11,0.962963,0.037037,1,70.264830
12,0.962963,0.037037,1,71.021653
13,0.962963,0.037037,1,69.419543
14,0.981481,0.018519,1,70.237790
15,0.962963,0.037037,1,70.916475
16,0.944444,0.055556,1,68.390146
17,0.925926,0.074074,1,69.133175
18,1.000000,0.000000,1,69.801357
19,0.962963,0.037037,4,68.148403
20,0.925926,0.074074,4,68.829329
21,0.925926,0.074074,4,69.518724
22,0.981481,0.018519,4,70.864581
23,0.962963,0.037037,4,71.629677
24,0.944444,0.055556,4,72.436795
25,0.981481,0.018519,32,68.602528
26,0.981481,0.018519,32,69.185656
27,0.981481,0.018519,32,69.817260
28,1.000000,0.000000,1,68.967954
29,1.000000,0.000000,1,69.655350
30,1.000000,0.000000,1,70.437470
