numIter,CCR,MAE,NH,CompTime
1,0.888889,0.111111,4,44.239209
2,0.666667,0.333333,4,44.810264
3,0.444444,0.555556,4,45.372224
4,0.777778,0.222222,2,43.439436
5,0.555556,0.444444,2,44.120185
6,0.666667,0.333333,2,44.701315
7,0.555556,0.444444,8,44.206138
8,0.777778,0.222222,8,44.793995
9,0.666667,0.333333,8,45.417036
10,0.666667,0.333333,2,44.245170
11,0.666667,0.333333,2,44.898652
12,0.777778,0.222222,2,45.473140
13,0.777778,0.222222,8,41.860688
14,0.777778,0.222222,8,42.431805
15,0.777778,0.222222,8,42.999920
16,0.555556,0.444444,4,46.186465
17,0.555556,0.444444,4,46.805314
18,0.555556,0.444444,4,47.440218
19,0.555556,0.444444,4,44.815651
20,0.555556,0.444444,4,45.430516
21,0.555556,0.444444,4,46.006458
22,0.666667,0.333333,32,44.332883
23,0.555556,0.444444,32,44.907047
24,0.555556,0.444444,32,45.486395
25,0.666667,0.333333,32,41.700159
26,0.777778,0.222222,32,42.267586
27,0.888889,0.111111,32,42.838798
28,0.555556,0.444444,1,42.496249
29,0.666667,0.333333,1,43.173644
30,0.333333,0.666667,1,43.750931
