numIter,CCR,MAE,NH,CompTime
1,0.923077,0.076923,4,42.816743
2,0.769231,0.230769,4,43.426460
3,0.769231,0.230769,4,44.005752
4,0.461538,0.538462,16,43.012103
5,0.615385,0.461538,16,43.615296
6,0.692308,0.384615,16,44.213128
7,0.769231,0.230769,8,47.099631
8,0.769231,0.230769,8,47.738045
9,0.846154,0.153846,8,48.316245
10,0.615385,0.461538,8,48.566001
11,0.461538,0.538462,8,49.179877
12,0.538462,0.538462,8,49.756939
13,0.538462,0.461538,32,44.304642
14,0.538462,0.461538,32,44.915091
15,0.692308,0.307692,32,45.547607
16,0.692308,0.307692,16,41.935247
17,0.538462,0.461538,16,42.576700
18,0.769231,0.230769,16,43.172383
19,0.692308,0.307692,4,43.690080
20,0.692308,0.307692,4,44.345734
21,0.769231,0.230769,4,44.919982
22,0.692308,0.307692,16,41.849240
23,0.615385,0.384615,16,42.518294
24,0.692308,0.307692,16,43.095379
25,0.692308,0.384615,8,45.163836
26,0.615385,0.384615,8,45.820833
27,0.769231,0.230769,8,46.723140
28,0.538462,0.538462,8,45.369032
29,0.538462,0.461538,8,46.010182
30,0.538462,0.461538,8,46.630138
