numIter,CCR,MAE,NH,CompTime
1,0.769231,0.230769,4,46.315533
2,0.692308,0.307692,4,46.914511
3,0.769231,0.230769,4,47.496495
4,0.692308,0.307692,16,47.315828
5,0.615385,0.384615,16,48.018074
6,0.692308,0.307692,16,48.655599
7,0.538462,0.461538,4,45.934891
8,0.538462,0.461538,4,46.533829
9,0.692308,0.307692,4,47.168286
10,0.769231,0.230769,8,48.374302
11,0.769231,0.230769,8,49.395310
12,0.461538,0.538462,8,50.049380
13,0.923077,0.076923,16,47.316657
14,0.461538,0.538462,16,47.907707
15,0.692308,0.307692,16,48.478897
16,0.769231,0.230769,32,44.453136
17,0.461538,0.538462,32,45.163293
18,0.538462,0.461538,32,45.763247
19,1.000000,0.000000,32,43.847262
20,0.769231,0.230769,32,44.485351
21,0.923077,0.076923,32,45.117502
22,0.461538,0.538462,1,55.929857
23,0.769231,0.230769,1,56.599683
24,0.692308,0.307692,1,57.263187
25,0.692308,0.307692,4,59.913640
26,0.461538,0.538462,4,60.698151
27,0.615385,0.384615,4,61.770435
28,0.461538,0.615385,16,58.030398
29,0.461538,0.538462,16,58.927919
30,0.461538,0.538462,16,59.887714
