numIter,CCR,MAE,NH,CompTime
1,0.552632,0.552632,32,84.020168
2,0.473684,0.657895,32,85.241138
3,0.526316,0.552632,32,87.018726
4,0.368421,0.631579,16,84.899315
5,0.342105,0.657895,16,85.887896
6,0.500000,0.578947,16,87.390597
7,0.447368,0.631579,32,72.606129
8,0.421053,0.631579,32,73.322966
9,0.315789,0.736842,32,74.069536
10,0.578947,0.552632,4,49.114281
11,0.473684,0.657895,4,49.722888
12,0.473684,0.710526,4,50.366237
13,0.473684,0.605263,8,82.864739
14,0.394737,0.684211,8,83.717713
15,0.342105,0.815789,8,84.482640
16,0.368421,0.657895,16,77.765865
17,0.342105,0.657895,16,79.065734
18,0.394737,0.710526,16,80.250863
19,0.500000,0.578947,8,77.036648
20,0.315789,0.684211,8,77.706177
21,0.526316,0.552632,8,78.512316
22,0.421053,0.736842,32,83.434261
23,0.421053,0.684211,32,84.489000
24,0.473684,0.684211,32,86.192510
25,0.552632,0.526316,16,84.224727
26,0.421053,0.736842,16,85.839300
27,0.473684,0.657895,16,87.469962
28,0.447368,0.657895,8,79.569105
29,0.473684,0.578947,8,80.431481
30,0.421053,0.684211,8,81.278828
