numIter,CCR,MAE,NH,CompTime
1,0.926111,0.125000,32,546.704040
2,0.939444,0.098333,32,566.196460
3,0.937778,0.101667,32,588.249084
4,0.927778,0.121667,32,657.531746
5,0.930000,0.117222,32,677.320757
6,0.927778,0.121667,32,689.436802
7,0.927222,0.122778,16,524.396968
8,0.926667,0.123889,16,530.232181
9,0.926667,0.123889,16,538.010303
10,0.948889,0.079444,32,603.400977
11,0.926667,0.123889,32,609.786611
12,0.925556,0.126111,32,616.619637
13,0.926111,0.125000,16,464.242199
14,0.925556,0.126111,16,466.744543
15,0.925556,0.126111,16,474.353336
16,0.925556,0.126111,32,645.302691
17,0.925556,0.125556,32,647.292943
18,0.923889,0.129444,32,653.438097
19,0.926667,0.123889,32,541.553691
20,0.925556,0.126111,32,544.492318
21,0.926667,0.123889,32,549.985364
22,0.925556,0.126111,16,580.289160
23,0.925556,0.126111,16,583.232103
24,0.925556,0.126111,16,587.484288
25,0.940000,0.097222,32,472.892580
26,0.926667,0.123889,32,479.281923
27,0.927778,0.121667,32,489.366928
28,0.927222,0.122778,16,546.669293
29,0.934444,0.108333,16,553.731361
30,0.948333,0.080556,16,575.312857
