numIter,CCR,MAE,NH,CompTime
1,0.600000,0.417500,8,178.738008
2,0.605000,0.420000,8,180.565251
3,0.600000,0.425000,8,182.573359
4,0.590000,0.432500,8,189.294793
5,0.597500,0.427500,8,191.244421
6,0.585000,0.445000,8,192.824698
7,0.550000,0.487500,16,195.254332
8,0.570000,0.462500,16,196.226974
9,0.580000,0.450000,16,197.247267
10,0.612500,0.420000,16,161.207331
11,0.537500,0.505000,16,162.744005
12,0.595000,0.440000,16,164.693878
13,0.560000,0.465000,32,160.657585
14,0.570000,0.460000,32,163.048084
15,0.590000,0.442500,32,164.832986
16,0.590000,0.442500,32,136.398673
17,0.600000,0.435000,32,140.812003
18,0.570000,0.467500,32,142.833603
19,0.540000,0.482500,16,135.031377
20,0.547500,0.482500,16,136.852452
21,0.560000,0.477500,16,138.812173
22,0.570000,0.467500,4,113.186516
23,0.575000,0.462500,4,114.280573
24,0.585000,0.450000,4,115.326427
25,0.595000,0.435000,32,141.680161
26,0.617500,0.412500,32,143.213124
27,0.600000,0.432500,32,144.646540
28,0.570000,0.457500,16,144.440529
29,0.585000,0.445000,16,145.359890
30,0.577500,0.447500,16,146.486127
