numIter,CCR,MAE,NH,CompTime
1,0.528980,0.521633,8,353.182520
2,0.533061,0.514286,8,355.780622
3,0.532245,0.517551,8,358.935483
4,0.528163,0.519184,32,375.545415
5,0.535510,0.507755,32,378.841802
6,0.538776,0.506122,32,383.873993
7,0.533061,0.516735,32,425.594138
8,0.547755,0.495510,32,429.960576
9,0.535510,0.510204,32,433.624884
10,0.564898,0.484898,32,464.288439
11,0.568163,0.478367,32,474.502034
12,0.560000,0.489796,32,479.743118
13,0.550204,0.498776,32,435.353838
14,0.549388,0.503673,32,440.097851
15,0.544490,0.500408,32,450.914484
16,0.539592,0.506939,32,404.978188
17,0.527347,0.523265,32,410.949933
18,0.538776,0.510204,32,423.355420
19,0.548571,0.505306,32,390.164853
20,0.544490,0.506122,32,397.944788
21,0.553469,0.497143,32,402.287354
22,0.520816,0.532245,16,342.791505
23,0.537143,0.514286,16,345.332927
24,0.538776,0.515918,16,348.639862
25,0.537143,0.523265,32,351.273923
26,0.559184,0.488980,32,357.810833
27,0.551837,0.500408,32,366.244917
28,0.524898,0.520000,32,373.380071
29,0.525714,0.518367,32,378.442744
30,0.525714,0.524898,32,381.795932
